"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight"
"1","GTR","relaxed_log_normal","birth_death",-5204.34066116072,5.26140612528673,0.000000574098061112043
"2","GTR","relaxed_log_normal","coalescent_bayesian_skyline",-5243.92947575061,8.36176233554028,3.67944536549017e-24
"3","GTR","relaxed_log_normal","coalescent_constant_population",-5208.74620901287,4.9795718368567,0.00000000700940183909718
"4","GTR","relaxed_log_normal","coalescent_exp_population",-5211.033194037,6.84339110806366,0.000000000711960635459475
"5","GTR","relaxed_log_normal","yule",-5203.29696365823,5.49480468135831,0.0000016302647801088
"6","GTR","strict","birth_death",-5201.99865450557,4.45308205388903,0.00000597181914905075
"7","GTR","strict","coalescent_bayesian_skyline",-5240.19517594048,7.69381372857453,1.54016822744538e-22
"8","GTR","strict","coalescent_constant_population",-5215.95259466997,6.67892584141907,5.19980949650863e-12
"9","GTR","strict","coalescent_exp_population",-5215.1722449446,5.27560676712911,1.13472079152303e-11
"10","GTR","strict","yule",-5217.59368922416,6.23427110826361,1.00755583781061e-12
"11","HKY","relaxed_log_normal","birth_death",-5201.19805300183,4.92863965152766,0.0000132985246407725
"12","HKY","relaxed_log_normal","coalescent_bayesian_skyline",-5217.54557144414,6.89400122008276,1.0572225309815e-12
"13","HKY","relaxed_log_normal","coalescent_constant_population",-5215.9398261557,5.64866502740732,5.2666290235112e-12
"14","HKY","relaxed_log_normal","coalescent_exp_population",-5210.33980266397,5.76431891203557,0.00000000142426902422883
"15","HKY","relaxed_log_normal","yule",-5206.82926106819,4.41708962610021,0.0000000476651399678884
"16","HKY","strict","birth_death",-5221.51264038068,5.83264184003032,2.00119892791553e-14
"17","HKY","strict","coalescent_bayesian_skyline",-5203.153131494,4.44765143427062,0.00000188245091811963
"18","HKY","strict","coalescent_constant_population",-5196.64583782961,3.87614750280317,0.00126126223463781
"19","HKY","strict","coalescent_exp_population",-5208.16381434275,5.1798772896873,0.0000000125490760062576
"20","HKY","strict","yule",-5208.37738912154,5.81212848732338,0.0000000101357852818613
"21","JC69","relaxed_log_normal","birth_death",-5198.74410022463,4.24706973969498,0.000154718274155176
"22","JC69","relaxed_log_normal","coalescent_bayesian_skyline",-5198.08137476948,4.29055984580977,0.000300164702446675
"23","JC69","relaxed_log_normal","coalescent_constant_population",-5189.97978509632,3.83498993929377,0.990456280492035
"24","JC69","relaxed_log_normal","coalescent_exp_population",-5194.90033343404,3.72418399613724,0.0072255068849296
"25","JC69","relaxed_log_normal","yule",-5205.36229571432,4.59183476633531,0.000000206678752251242
"26","JC69","strict","birth_death",-5197.89729629233,3.80724486998869,0.000360831037753419
"27","JC69","strict","coalescent_bayesian_skyline",-5201.5128847559,4.64834356194411,0.00000970674831055087
"28","JC69","strict","coalescent_constant_population",-5200.78881861452,4.16486609919833,0.000020023117621684
"29","JC69","strict","coalescent_exp_population",-5198.55046581152,4.28088162638898,0.000187774221212893
"30","TN93","relaxed_log_normal","birth_death",-5206.37368621798,5.12880451686952,0.0000000751717249794693
"31","TN93","relaxed_log_normal","coalescent_bayesian_skyline",-5221.67075319808,6.46817933370175,1.70853050542529e-14
"32","TN93","relaxed_log_normal","coalescent_constant_population",-5220.9202001054,5.40638413713409,3.61896017531237e-14
"33","TN93","relaxed_log_normal","coalescent_exp_population",-5213.43164234715,5.83297976006886,6.46879094080878e-11
"34","TN93","relaxed_log_normal","yule",-5208.25510707367,4.97409168860787,0.0000000114541751671623
"35","TN93","strict","birth_death",-5209.97651236964,5.27290455500161,0.00000000204817470964875
"36","TN93","strict","coalescent_bayesian_skyline",-5213.71143547572,5.29680233018673,4.89001852042804e-11
"37","TN93","strict","coalescent_constant_population",-5218.82453091023,5.79810616251841,2.94253319810231e-13
"38","TN93","strict","coalescent_exp_population",-5212.63799192362,5.08913550639165,0.000000000143054365449934
"39","TN93","strict","yule",-5227.64771809711,6.97181602832473,4.33371017064021e-17
